mapping_unit,badge,total_score,degradation_risk,suitability,drainage,ph_range,slope,soil_texture,major_crops,risk_factors
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
21a,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 6.9,0 - 6%,Sandy Clay,"Yam,Rice,Maize,Sorghum,Groundnut,Millet,Cottom",Well-suited for sustainable agriculture
21a,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 6.9,0 - 6%,Sandy Clay,"Yam,Rice,Maize,Sorghum,Groundnut,Millet,Cottom",Well-suited for sustainable agriculture
21a,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 6.9,0 - 6%,Sandy Clay,"Yam,Rice,Maize,Sorghum,Groundnut,Millet,Cottom",Well-suited for sustainable agriculture
10a,GOLD,79,LOW,Moderately Suitable,Moderately Drained,5.1 - 6.5,0 - 6%,Clay Loam,"Cassava,Yam,Rice,Cocoa,Oil palm,Plantain, Banana,Vegetables",Well-suited for sustainable agriculture
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
2c,GOLD,73,MEDIUM,Moderately Suitable,Poorly Drained,5.5 - 5.9,0 - 2%,Silty Loam,"Yam,Rice,Cassava,Plantain,Banana,Cocoa,OilPalm,Vegetables",Waterlogging risk - poor drainage
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
9a,GOLD,94,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.1 - 6.0,0 - 6%,Sandy Clay,"Yam,Rice,Cass,Plantain,Maize,Cocoa,OilPalm,Rubber,Vegetables",Well-suited for sustainable agriculture
1b,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.5 - 5.2,0 - 2%,Sandy Clay,"Yam,Fruits,Rice,Cassava,OilPalm,,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
1b,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.5 - 5.2,0 - 2%,Sandy Clay,"Yam,Fruits,Rice,Cassava,OilPalm,,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
6a,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.1 - 5.9,0 - 2%,Sandy Loam,"Yam,Rice,Cass,Plantain,MaizeBana,Cocoa,OilPalm,Fruits,Vegetables",Well-suited for sustainable agriculture
12a,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava,Yam,Rice,Maize,Oil palm,Plantain,Vegetables",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
1b,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.5 - 5.2,0 - 2%,Sandy Clay,"Yam,Fruits,Rice,Cassava,OilPalm,,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
1b,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.5 - 5.2,0 - 2%,Sandy Clay,"Yam,Fruits,Rice,Cassava,OilPalm,,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
1b,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.5 - 5.2,0 - 2%,Sandy Clay,"Yam,Fruits,Rice,Cassava,OilPalm,,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
1b,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.5 - 5.2,0 - 2%,Sandy Clay,"Yam,Fruits,Rice,Cassava,OilPalm,,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
21b,SILVER,69,LOW,Marginally Suitable,Well Drained,4.9 - 6.5,0 - 6%,Sandy Loam,"Sorghum,Cowpea,Millet,Cottom, Maize.",Well-suited for sustainable agriculture
20b,GOLD,79,LOW,Moderately Suitable,Well Drained,5.1,0 - 6%,Silty Loam,"Cassava,Yam,Millet,Sorghum,Maize,Rice,vegetables",Well-suited for sustainable agriculture
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
17a,GOLD,89,MEDIUM,Fairly Higly Suitable with few physical limitation,Well Drained,4.5 - 5.5,0 - 22%,Sandy Clay,"Cassava,Yam,Plantain,Oil Palm,Sorghum,Acha,Maize,Rice,Irish Potatoes, Millet,Cotton",High erosion risk due to steep slope
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
21a,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 6.9,0 - 6%,Sandy Clay,"Yam,Rice,Maize,Sorghum,Groundnut,Millet,Cottom",Well-suited for sustainable agriculture
19c,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava, Yam,Plantain,Maize,Oil Palm,Vegetables",Well-suited for sustainable agriculture
19b,GOLD,79,LOW,Moderately Suitable,Well Drained,5.1 - 5.5,0 - 6%,Silty Clay,"Cassava, Yam,Rice, Plantain,Maize,Oil Palm,vegetables",Well-suited for sustainable agriculture
21a,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 6.9,0 - 6%,Sandy Clay,"Yam,Rice,Maize,Sorghum,Groundnut,Millet,Cottom",Well-suited for sustainable agriculture
21b,SILVER,69,LOW,Marginally Suitable,Well Drained,4.9 - 6.5,0 - 6%,Sandy Loam,"Sorghum,Cowpea,Millet,Cottom, Maize.",Well-suited for sustainable agriculture
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
21a,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 6.9,0 - 6%,Sandy Clay,"Yam,Rice,Maize,Sorghum,Groundnut,Millet,Cottom",Well-suited for sustainable agriculture
6b,GOLD,83,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,5.0 - 5.5,0 - 2%,Sandy Clay,"Yam,Rice,Cass,Plantain,Bana,Cocoa,OilPalm,Vegetables",Waterlogging risk - poor drainage
24a,BRONZE,39,MEDIUM,Currently Not Suitable,Imperfectly Drained,5.1 - 5.6,13 - 55%,Concretionary Clay,"Yam,Rice,Cassava,OilPalm,Plantain,Vegetables",High erosion risk due to steep slope
19c,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava, Yam,Plantain,Maize,Oil Palm,Vegetables",Well-suited for sustainable agriculture
21b,SILVER,69,LOW,Marginally Suitable,Well Drained,4.9 - 6.5,0 - 6%,Sandy Loam,"Sorghum,Cowpea,Millet,Cottom, Maize.",Well-suited for sustainable agriculture
17a,GOLD,89,MEDIUM,Fairly Higly Suitable with few physical limitation,Well Drained,4.5 - 5.5,0 - 22%,Sandy Clay,"Cassava,Yam,Plantain,Oil Palm,Sorghum,Acha,Maize,Rice,Irish Potatoes, Millet,Cotton",High erosion risk due to steep slope
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
9a,GOLD,94,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.1 - 6.0,0 - 6%,Sandy Clay,"Yam,Rice,Cass,Plantain,Maize,Cocoa,OilPalm,Rubber,Vegetables",Well-suited for sustainable agriculture
6a,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.1 - 5.9,0 - 2%,Sandy Loam,"Yam,Rice,Cass,Plantain,MaizeBana,Cocoa,OilPalm,Fruits,Vegetables",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
5d,GOLD,85,MEDIUM,Fairly Higly Suitable with few physical limitation,Well Drained,4.2 - 4.7,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,Plantain,OilPalm,Vegetables",pH stress - may need amendment
5a,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.1 - 5.3,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Plantain,Banana,Cocoa,OilPalm,Vegetables",Well-suited for sustainable agriculture
1a,SILVER,63,HIGH,Moderately Suitable,Poorly Drained,4.6 - 5.0,0 - 2%,Sandy Loam,"Yam,Maize,Rice,Cassava,OilPalm,Cocoa,Coconuts,Vegetables",Waterlogging risk - poor drainage; pH stress - may need amendment
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
2b,GOLD,80,LOW,Moderately Suitable,Well Drained,6.5 - 7.8,0 - 2%,Loamy Fine Sand,"Sorghum,Millet,Cowpea,Cotton,Maize,Yam,Vegetables,Rice",Well-suited for sustainable agriculture
18b,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,4.2 - 4.6,0 - 6%,Sandy Loam,"Rice,Yam,Cassava,Plantain,Sorghum,Millet,Cowpea,Maize and vegetables",pH stress - may need amendment
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
17a,GOLD,89,MEDIUM,Fairly Higly Suitable with few physical limitation,Well Drained,4.5 - 5.5,0 - 22%,Sandy Clay,"Cassava,Yam,Plantain,Oil Palm,Sorghum,Acha,Maize,Rice,Irish Potatoes, Millet,Cotton",High erosion risk due to steep slope
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
21b,SILVER,69,LOW,Marginally Suitable,Well Drained,4.9 - 6.5,0 - 6%,Sandy Loam,"Sorghum,Cowpea,Millet,Cottom, Maize.",Well-suited for sustainable agriculture
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
19c,GOLD,79,LOW,Moderately Suitable,Well Drained,4.5 - 5.5,0 - 6%,Sandy Loam,"Cassava, Yam,Plantain,Maize,Oil Palm,Vegetables",Well-suited for sustainable agriculture
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
17a,GOLD,89,MEDIUM,Fairly Higly Suitable with few physical limitation,Well Drained,4.5 - 5.5,0 - 22%,Sandy Clay,"Cassava,Yam,Plantain,Oil Palm,Sorghum,Acha,Maize,Rice,Irish Potatoes, Millet,Cotton",High erosion risk due to steep slope
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
17a,GOLD,77,HIGH,Fairly Higly Suitable with few physical limitation,Poorly Drained,4.5 - 5.5,0 - 22%,Sandy Clay,"Cassava,Yam,Plantain,Oil Palm,Sorghum,Acha,Maize,Rice,Irish Potatoes, Millet,Cotton",High erosion risk due to steep slope; Waterlogging risk - poor drainage
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
17a,GOLD,89,MEDIUM,Fairly Higly Suitable with few physical limitation,Well Drained,4.5 - 5.5,0 - 22%,Sandy Clay,"Cassava,Yam,Plantain,Oil Palm,Sorghum,Acha,Maize,Rice,Irish Potatoes, Millet,Cotton",High erosion risk due to steep slope
21b,SILVER,69,LOW,Marginally Suitable,Well Drained,4.9 - 6.5,0 - 6%,Sandy Loam,"Sorghum,Cowpea,Millet,Cottom, Maize.",Well-suited for sustainable agriculture
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
5a,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.1 - 5.3,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Plantain,Banana,Cocoa,OilPalm,Vegetables",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
8a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 2 and 5 - 30%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
11a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 6% and 5 - 30%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
1c,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.0 - 5.5,0 - 2%,Sandy,"Yam,Rice,Cassava,Plantain,Banana,Cocoa,OilPalm,Fruits and Vegetables",Waterlogging risk - poor drainage
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
11a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 6% and 5 - 30%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
8a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 2 and 5 - 30%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
11a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 6% and 5 - 30%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
8a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 2 and 5 - 30%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
7c,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 6.5,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",Well-suited for sustainable agriculture
11a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 6% and 5 - 30%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
7c,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 6.5,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",Well-suited for sustainable agriculture
8b,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.6 - 6.0,0 - 2 and 5 - 30%,Sandy Clay,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
8b,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.6 - 6.0,0 - 2 and 5 - 30%,Sandy Clay,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
11a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 6% and 5 - 30%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
7c,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 6.5,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",Well-suited for sustainable agriculture
8b,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.6 - 6.0,0 - 2 and 5 - 30%,Sandy Clay,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
7c,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 6.5,0 - 2%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",Well-suited for sustainable agriculture
13a,SILVER,64,MEDIUM,Marginally Suitable,Well Drained,5.1 - 7.3,6 - 25%,Sandy Clay,"Maize, Rice,Cassava,Yam,Cocoa,Oil Palm",High erosion risk due to steep slope
8a,GOLD,77,MEDIUM,Moderately Suitable,Well Drained,5.1 - 6.5,0 - 2 and 5 - 30%,Sandy Loam,"Yam,Rice,Cassava,Maize,Cocoa,OilPalm",High erosion risk due to steep slope
